"","x"
"M0111","retn"
"M0135","Xrp1"
"M0302","other_species"
"M0319","other_species"
"M0576","danr"
"M0580","other_species"
"M0596","other_species"
"M0641","dmrt99B"
"M0713","Ets21C"
"M0723","other_species"
"M0736","other_species"
"M0737","other_species"
"M0740","slp1"
"M0817","gcm2"
"M0967","other_species"
"M1088","Dll"
"M1089","bsh"
"M1090","ems"
"M1091","eve"
"M1092","Lim3"
"M1093","so"
"M1094","zen2"
"M1095","bap"
"M1096","Gsc"
"M1097","Awh"
"M1098","dve"
"M1099","Ptx1"
"M1100","Optix"
"M1101","Vsx1"
"M1102","CG15696"
"M1103","Vsx2"
"M1104","CG34031"
"M1105","pdm3"
"M1106","Dbx"
"M1223","other_species"
"M1242","acj6"
"M1469","Hr3"
"M1470","ftz-f1"
"M1471","tll"
"M1519","other_species"
"M1524","other_species"
"M1529","other_species"
"M1599","other_species"
"M1623","other_species"
"M1628","other_species"
"M1631","other_species"
"M1837","other_species"
"M1849","Cf2"
"M1850","usp"
"M1854","dl"
"M1858","Eip74EF"
"M1869","other_species"
"M1890","other_species"
"M1912","Su(H)"
"M1913","sna"
"M1918","Ubx"
"M1946","ovo"
"M1960","other_species"
"M1974","Abd-B"
"M1975","Antp"
"M1977","B-H1"
"M1978","B-H2"
"M1980","CG11085"
"M1986","CG18599"
"M1988","CG32532"
"M1992","HHEX"
"M1993","CG9876"
"M1995","Dfd"
"M2002","schlank"
"M2005","NK7.1"
"M2006","nub"
"M2007","OdsH"
"M2009","Pph13"
"M2013","Six4"
"M2016","achi"
"M2018","ap"
"M2021","bcd"
"M2024","btn"
"M2026","caup"
"M2027","ct"
"M2029","en"
"M2031","exd"
"M2034","hbn"
"M2037","inv"
"M2038","lab"
"M2039","lbe"
"M2040","lbl"
"M2043","onecut"
"M2046","pb"
"M2049","ro"
"M2057","unc-4"
"M2058","unpg"
"M2059","vis"
"M2060","vnd"
"M2061","vvl"
"M2247","btd"
"M2249","D"
"M2251","gt"
"M2252","H2.0"
"M2259","opa"
"M2263","ttk"
"M2325","BEAF-32"
"M2327","Stat92E"
"M2328","SU(HW)"
"M2387","other_species"
"M4526","other_species"
"M4633","other_species"
"M4669","cnc"
"M4670","CTCF"
"M4672","E2f"
"M4673","fkh"
"M4674","pnr"
"M4675","Mef2"
"M4676","Myb"
"M4677","kni"
"M4708","other_species"
"M4720","abd-A"
"M4722","ab"
"M4724","ac"
"M4725","da"
"M4728","Adf1"
"M4730","Aef1"
"M4732","al"
"M4735","amos"
"M4739","aop"
"M4743","ara"
"M4745","ase"
"M4747","Atf-2"
"M4748","Atf6"
"M4750","ato"
"M4757","bab1"
"M4765","bin"
"M4767","Blimp-1"
"M4769","bowl"
"M4770","brk"
"M4771","br"
"M4783","Klf15"
"M4787","byn"
"M4788","C15"
"M4790","cad"
"M4794","cato"
"M4800","Zif"
"M4802","CG10904"
"M4803","mamo"
"M4806","CG11294"
"M4808","CG11504"
"M4809","CG11617"
"M4811","dar1"
"M4813","CG12155"
"M4814","CG12236"
"M4817","CG12605"
"M4819","CG12768"
"M4820","lms"
"M4823","hng3"
"M4824","Asciz"
"M4826","CG15601"
"M4829","Coop"
"M4830","FoxP"
"M4831","Kah"
"M4837","CG3065"
"M4840","erm"
"M4842","CG31782"
"M4843","CG32105"
"M4847","Lmx1a"
"M4850","CG33557"
"M4857","CG3407"
"M4859","brwl"
"M4860","CG3919"
"M4863","CG4328"
"M4865","CG4360"
"M4866","CG4404"
"M4867","CG4854"
"M4869","CG5180"
"M4870","Spps"
"M4872","CG5953"
"M4873","CG6276"
"M4876","CG7368"
"M4878","CG7386"
"M4879","CG7745"
"M4880","ZIPIC"
"M4882","CG8281"
"M4883","CG8319"
"M4885","CG8765"
"M4886","hng1"
"M4889","CG42741"
"M4891","cic"
"M4892","ci"
"M4893","Clk"
"M4894","cyc"
"M4895","crc"
"M4896","Irbp18"
"M4897","CrebA"
"M4898","crol"
"M4899","crp"
"M4900","cwo"
"M4901","D19A"
"M4902","D19B"
"M4904","Deaf1"
"M4906","tx"
"M4911","dimm"
"M4912","Dlip3"
"M4913","disco-r"
"M4914","disco"
"M4918","Myc"
"M4919","Max"
"M4921","Doc2"
"M4922","dpn"
"M4923","Dr"
"M4924","Dref"
"M4926","dsf"
"M4927","dsx"
"M4929","tgo"
"M4930","Dys"
"M4931","E5"
"M4933","EcR"
"M4934","eg"
"M4937","Eip75B"
"M4938","Eip78C"
"M4939","Eip93F"
"M4947","ERR"
"M4948","esg"
"M4949","E(spl)"
"M4951","Ets65A"
"M4952","Ets96B"
"M4953","Ets97D"
"M4954","Ets98B"
"M4962","exex"
"M4964","FoxL1"
"M4966","Fer1"
"M4969","Fer2"
"M4971","Fer3"
"M4973","foxo"
"M4974","fru"
"M4977","ftz"
"M4982","GATAd"
"M4983","GATAe"
"M4985","gl"
"M4988","grh"
"M4996","Hand"
"M4997","hb"
"M5003","her"
"M5004","Her"
"M5006","Hey"
"M5007","HGTX"
"M5009","hkb"
"M5011","HLH4C"
"M5018","HLH54F"
"M5019","E(spl)m3-HLH"
"M5020","E(spl)m5-HLH"
"M5022","E(spl)m7-HLH"
"M5023","E(spl)mbeta-HLH"
"M5024","E(spl)mdelta-HLH"
"M5025","E(spl)mgamma-HLH"
"M5027","Hmx"
"M5029","h"
"M5030","Hnf4"
"M5034","Hr4"
"M5035","Hr51"
"M5036","Hr78"
"M5037","Hr83"
"M5039","Hsf"
"M5040","hth"
"M5043","ind"
"M5047","jigr1"
"M5048","jim"
"M5050","Jra"
"M5051","kay"
"M5052","ken"
"M5054","klu"
"M5059","knrl"
"M5060","Kr"
"M5064","l(1)sc"
"M5065","l(3)neo38"
"M5075","Lim1"
"M5079","lmd"
"M5081","lola"
"M5097","luna"
"M5099","Mad"
"M5101","Mnt"
"M5102","Med"
"M5103","Mes2"
"M5104","Met"
"M5107","mio"
"M5108","bigmax"
"M5109","mirr"
"M5111","Mitf"
"M5113","nau"
"M5116","net"
"M5119","oc"
"M5121","odd"
"M5128","Oli"
"M5137","otp"
"M5142","pad"
"M5144","pan"
"M5147","peb"
"M5148","Pfk"
"M5149","PHDP"
"M5151","pho"
"M5152","phol"
"M5157","pnt"
"M5158","Poxm"
"M5159","Poxn"
"M5164","repo"
"M5167","rib"
"M5168","rn"
"M5172","run"
"M5173","Bgb"
"M5174","Rx"
"M5177","sage"
"M5179","sc"
"M5180","Scr"
"M5182","scrt"
"M5185","sd"
"M5186","sens-2"
"M5187","sens"
"M5189","shn"
"M5190","side"
"M5194","slbo"
"M5196","slou"
"M5199","slp2"
"M5203","sob"
"M5207","Sox14"
"M5208","Sox15"
"M5209","Sp1"
"M5211","sqz"
"M5213","srp"
"M5215","sr"
"M5217","ss"
"M5219","sug"
"M5221","svp"
"M5222","sv"
"M5224","tai"
"M5227","tap"
"M5233","sima"
"M5234","sim"
"M5241","tin"
"M5244","tj"
"M5247","Trl"
"M5252","tup"
"M5256","twi"
"M5263","Usf"
"M5265","zld"
"M5272","vri"
"M5273","wor"
"M5280","zen"
"M5283","z"
"M5348","other_species"
"M5660","other_species"
"M5704","other_species"
"M6166","other_species"
"M6186","other_species"
"M6235","other_species"
"M6237","other_species"
"M6238","other_species"
"M6277","other_species"
"M6374","other_species"
"M6394","other_species"
"M6410","other_species"
"M6459","other_species"
"M6501","other_species"
"M6537","other_species"
